sentence,label,group,source
The paintings by the taxi drivers,1,ML,prep_inanim_all
The paintings by the assistants,1,ML,prep_inanim_all
The paintings by the executives,1,ML,prep_inanim_all
The paintings by the parents,1,ML,prep_inanim_all
The novels from the guards,1,ML,prep_inanim_all
The novels from the chefs,1,ML,prep_inanim_all
The novels from the architects,1,ML,prep_inanim_all
The novels from the skaters,1,ML,prep_inanim_all
The novels from the dancers,1,ML,prep_inanim_all
The novels from the ministers,1,ML,prep_inanim_all
The novels from the taxi drivers,1,ML,prep_inanim_all
The novels from the assistants,1,ML,prep_inanim_all
The novels from the executives,1,ML,prep_inanim_all
The novels from the parents,1,ML,prep_inanim_all
The novels by the guards,1,ML,prep_inanim_all
The novels by the chefs,1,ML,prep_inanim_all
The novels by the architects,1,ML,prep_inanim_all
The novels by the skaters,1,ML,prep_inanim_all
The novels by the dancers,1,ML,prep_inanim_all
The novels by the ministers,1,ML,prep_inanim_all
The novels by the taxi drivers,1,ML,prep_inanim_all
The novels by the assistants,1,ML,prep_inanim_all
The novels by the executives,1,ML,prep_inanim_all
The novels by the parents,1,ML,prep_inanim_all
The poems from the guards,1,ML,prep_inanim_all
The poems from the chefs,1,ML,prep_inanim_all
The poems from the architects,1,ML,prep_inanim_all
The poems from the skaters,1,ML,prep_inanim_all
The poems from the dancers,1,ML,prep_inanim_all
The poems from the ministers,1,ML,prep_inanim_all
The poems from the taxi drivers,1,ML,prep_inanim_all
The poems from the assistants,1,ML,prep_inanim_all
The poems from the executives,1,ML,prep_inanim_all
The poems from the parents,1,ML,prep_inanim_all
The poems by the guards,1,ML,prep_inanim_all
The poems by the chefs,1,ML,prep_inanim_all
The poems by the architects,1,ML,prep_inanim_all
The poems by the skaters,1,ML,prep_inanim_all
The poems by the dancers,1,ML,prep_inanim_all
The poems by the ministers,1,ML,prep_inanim_all
The poems by the taxi drivers,1,ML,prep_inanim_all
The poems by the assistants,1,ML,prep_inanim_all
The poems by the executives,1,ML,prep_inanim_all
The poems by the parents,1,ML,prep_inanim_all
The shows from the guards,1,ML,prep_inanim_all
The shows from the chefs,1,ML,prep_inanim_all
The shows from the architects,1,ML,prep_inanim_all
The shows from the skaters,1,ML,prep_inanim_all
The shows from the dancers,1,ML,prep_inanim_all
The shows from the ministers,1,ML,prep_inanim_all
The shows from the taxi drivers,1,ML,prep_inanim_all
The shows from the assistants,1,ML,prep_inanim_all
The shows from the executives,1,ML,prep_inanim_all
The shows from the parents,1,ML,prep_inanim_all
The shows by the guards,1,ML,prep_inanim_all
The shows by the chefs,1,ML,prep_inanim_all
The shows by the architects,1,ML,prep_inanim_all
The shows by the skaters,1,ML,prep_inanim_all
The shows by the dancers,1,ML,prep_inanim_all
The shows by the ministers,1,ML,prep_inanim_all
The shows by the taxi drivers,1,ML,prep_inanim_all
The shows by the assistants,1,ML,prep_inanim_all
The shows by the executives,1,ML,prep_inanim_all
The shows by the parents,1,ML,prep_inanim_all
The movies from the guard,1,ML,prep_inanim_all
The movies from the chef,1,ML,prep_inanim_all
The movies from the architect,1,ML,prep_inanim_all
The movies from the skater,1,ML,prep_inanim_all
The movies from the dancer,1,ML,prep_inanim_all
The movies from the minister,1,ML,prep_inanim_all
The movies from the taxi driver,1,ML,prep_inanim_all
The movies from the assistant,1,ML,prep_inanim_all
The movies from the executive,1,ML,prep_inanim_all
The movies from the parent,1,ML,prep_inanim_all
The movies by the guard,1,ML,prep_inanim_all
The movies by the chef,1,ML,prep_inanim_all
The movies by the architect,1,ML,prep_inanim_all
The movies by the skater,1,ML,prep_inanim_all
The movies by the dancer,1,ML,prep_inanim_all
The movies by the minister,1,ML,prep_inanim_all
The movies by the taxi driver,1,ML,prep_inanim_all
The movies by the assistant,1,ML,prep_inanim_all
The movies by the executive,1,ML,prep_inanim_all
The movies by the parent,1,ML,prep_inanim_all
The books from the guard,1,ML,prep_inanim_all
The books from the chef,1,ML,prep_inanim_all
The books from the architect,1,ML,prep_inanim_all
The books from the skater,1,ML,prep_inanim_all
The books from the dancer,1,ML,prep_inanim_all
The books from the minister,1,ML,prep_inanim_all
The books from the taxi driver,1,ML,prep_inanim_all
The books from the assistant,1,ML,prep_inanim_all
The books from the executive,1,ML,prep_inanim_all
The books from the parent,1,ML,prep_inanim_all
The books by the guard,1,ML,prep_inanim_all
The books by the chef,1,ML,prep_inanim_all
The books by the architect,1,ML,prep_inanim_all
The books by the skater,1,ML,prep_inanim_all
The books by the dancer,1,ML,prep_inanim_all
The books by the minister,1,ML,prep_inanim_all
The books by the taxi driver,1,ML,prep_inanim_all
The books by the assistant,1,ML,prep_inanim_all
The books by the executive,1,ML,prep_inanim_all
The books by the parent,1,ML,prep_inanim_all
The games from the guard,1,ML,prep_inanim_all
The games from the chef,1,ML,prep_inanim_all
The games from the architect,1,ML,prep_inanim_all
The games from the skater,1,ML,prep_inanim_all
The games from the dancer,1,ML,prep_inanim_all
The games from the minister,1,ML,prep_inanim_all
The games from the taxi driver,1,ML,prep_inanim_all
The games from the assistant,1,ML,prep_inanim_all
The games from the executive,1,ML,prep_inanim_all
The games from the parent,1,ML,prep_inanim_all
The games by the guard,1,ML,prep_inanim_all
The games by the chef,1,ML,prep_inanim_all
The games by the architect,1,ML,prep_inanim_all
The games by the skater,1,ML,prep_inanim_all
The games by the dancer,1,ML,prep_inanim_all
The games by the minister,1,ML,prep_inanim_all
The games by the taxi driver,1,ML,prep_inanim_all
The games by the assistant,1,ML,prep_inanim_all
The games by the executive,1,ML,prep_inanim_all
The games by the parent,1,ML,prep_inanim_all
The songs from the guard,1,ML,prep_inanim_all
The songs from the chef,1,ML,prep_inanim_all
The songs from the architect,1,ML,prep_inanim_all
The songs from the skater,1,ML,prep_inanim_all
The songs from the dancer,1,ML,prep_inanim_all
The songs from the minister,1,ML,prep_inanim_all
The songs from the taxi driver,1,ML,prep_inanim_all
The songs from the assistant,1,ML,prep_inanim_all
The songs from the executive,1,ML,prep_inanim_all
The songs from the parent,1,ML,prep_inanim_all
The songs by the guard,1,ML,prep_inanim_all
The songs by the chef,1,ML,prep_inanim_all
The songs by the architect,1,ML,prep_inanim_all
The songs by the skater,1,ML,prep_inanim_all
The songs by the dancer,1,ML,prep_inanim_all
The songs by the minister,1,ML,prep_inanim_all
The songs by the taxi driver,1,ML,prep_inanim_all
The songs by the assistant,1,ML,prep_inanim_all
The songs by the executive,1,ML,prep_inanim_all
The songs by the parent,1,ML,prep_inanim_all
The pictures from the guard,1,ML,prep_inanim_all
The pictures from the chef,1,ML,prep_inanim_all
The pictures from the architect,1,ML,prep_inanim_all
The pictures from the skater,1,ML,prep_inanim_all
The pictures from the dancer,1,ML,prep_inanim_all
The pictures from the minister,1,ML,prep_inanim_all
The pictures from the taxi driver,1,ML,prep_inanim_all
The pictures from the assistant,1,ML,prep_inanim_all
The pictures from the executive,1,ML,prep_inanim_all
The pictures from the parent,1,ML,prep_inanim_all
The pictures by the guard,1,ML,prep_inanim_all
The pictures by the chef,1,ML,prep_inanim_all
The pictures by the architect,1,ML,prep_inanim_all
The pictures by the skater,1,ML,prep_inanim_all
The pictures by the dancer,1,ML,prep_inanim_all
The pictures by the minister,1,ML,prep_inanim_all
The pictures by the taxi driver,1,ML,prep_inanim_all
The pictures by the assistant,1,ML,prep_inanim_all
The pictures by the executive,1,ML,prep_inanim_all
The pictures by the parent,1,ML,prep_inanim_all
The paintings from the guard,1,ML,prep_inanim_all
The paintings from the chef,1,ML,prep_inanim_all
The paintings from the architect,1,ML,prep_inanim_all
The paintings from the skater,1,ML,prep_inanim_all
The paintings from the dancer,1,ML,prep_inanim_all
The paintings from the minister,1,ML,prep_inanim_all
The paintings from the taxi driver,1,ML,prep_inanim_all
The paintings from the assistant,1,ML,prep_inanim_all
The paintings from the executive,1,ML,prep_inanim_all
The paintings from the parent,1,ML,prep_inanim_all
The paintings by the guard,1,ML,prep_inanim_all
The paintings by the chef,1,ML,prep_inanim_all
The paintings by the architect,1,ML,prep_inanim_all
The paintings by the skater,1,ML,prep_inanim_all
The paintings by the dancer,1,ML,prep_inanim_all
The paintings by the minister,1,ML,prep_inanim_all
The paintings by the taxi driver,1,ML,prep_inanim_all
The paintings by the assistant,1,ML,prep_inanim_all
The paintings by the executive,1,ML,prep_inanim_all
The paintings by the parent,1,ML,prep_inanim_all
The novels from the guard,1,ML,prep_inanim_all
The novels from the chef,1,ML,prep_inanim_all
The novels from the architect,1,ML,prep_inanim_all
The novels from the skater,1,ML,prep_inanim_all
The novels from the dancer,1,ML,prep_inanim_all
The novels from the minister,1,ML,prep_inanim_all
The novels from the taxi driver,1,ML,prep_inanim_all
The novels from the assistant,1,ML,prep_inanim_all
The novels from the executive,1,ML,prep_inanim_all
The novels from the parent,1,ML,prep_inanim_all
The novels by the guard,1,ML,prep_inanim_all
The novels by the chef,1,ML,prep_inanim_all
The novels by the architect,1,ML,prep_inanim_all
The novels by the skater,1,ML,prep_inanim_all
The novels by the dancer,1,ML,prep_inanim_all
The novels by the minister,1,ML,prep_inanim_all
The novels by the taxi driver,1,ML,prep_inanim_all
The novels by the assistant,1,ML,prep_inanim_all
The novels by the executive,1,ML,prep_inanim_all
The novels by the parent,1,ML,prep_inanim_all
The poems from the guard,1,ML,prep_inanim_all
The poems from the chef,1,ML,prep_inanim_all
The poems from the architect,1,ML,prep_inanim_all
The poems from the skater,1,ML,prep_inanim_all
The poems from the dancer,1,ML,prep_inanim_all
The poems from the minister,1,ML,prep_inanim_all
The poems from the taxi driver,1,ML,prep_inanim_all
The poems from the assistant,1,ML,prep_inanim_all
The poems from the executive,1,ML,prep_inanim_all
The poems from the parent,1,ML,prep_inanim_all
The poems by the guard,1,ML,prep_inanim_all
The poems by the chef,1,ML,prep_inanim_all
The poems by the architect,1,ML,prep_inanim_all
The poems by the skater,1,ML,prep_inanim_all
The poems by the dancer,1,ML,prep_inanim_all
The poems by the minister,1,ML,prep_inanim_all
The poems by the taxi driver,1,ML,prep_inanim_all
The poems by the assistant,1,ML,prep_inanim_all
The poems by the executive,1,ML,prep_inanim_all
The poems by the parent,1,ML,prep_inanim_all
The shows from the guard,1,ML,prep_inanim_all
The shows from the chef,1,ML,prep_inanim_all
The shows from the architect,1,ML,prep_inanim_all
The shows from the skater,1,ML,prep_inanim_all
The shows from the dancer,1,ML,prep_inanim_all
The shows from the minister,1,ML,prep_inanim_all
The shows from the taxi driver,1,ML,prep_inanim_all
The shows from the assistant,1,ML,prep_inanim_all
The shows from the executive,1,ML,prep_inanim_all
The shows from the parent,1,ML,prep_inanim_all
The shows by the guard,1,ML,prep_inanim_all
The shows by the chef,1,ML,prep_inanim_all
The shows by the architect,1,ML,prep_inanim_all
The shows by the skater,1,ML,prep_inanim_all
The shows by the dancer,1,ML,prep_inanim_all
The shows by the minister,1,ML,prep_inanim_all
The shows by the taxi driver,1,ML,prep_inanim_all
The shows by the assistant,1,ML,prep_inanim_all
The shows by the executive,1,ML,prep_inanim_all
The shows by the parent,1,ML,prep_inanim_all
The movie from the guards,0,ML,prep_inanim_all
The movie from the chefs,0,ML,prep_inanim_all
The movie from the architects,0,ML,prep_inanim_all
The movie from the skaters,0,ML,prep_inanim_all
The movie from the dancers,0,ML,prep_inanim_all
The movie from the ministers,0,ML,prep_inanim_all
The movie from the taxi drivers,0,ML,prep_inanim_all
The movie from the assistants,0,ML,prep_inanim_all
The movie from the executives,0,ML,prep_inanim_all
The movie from the parents,0,ML,prep_inanim_all
The movie by the guards,0,ML,prep_inanim_all
The movie by the chefs,0,ML,prep_inanim_all
The movie by the architects,0,ML,prep_inanim_all
The movie by the skaters,0,ML,prep_inanim_all
The movie by the dancers,0,ML,prep_inanim_all
The movie by the ministers,0,ML,prep_inanim_all
The movie by the taxi drivers,0,ML,prep_inanim_all
The movie by the assistants,0,ML,prep_inanim_all
The movie by the executives,0,ML,prep_inanim_all
The movie by the parents,0,ML,prep_inanim_all
The book from the guards,0,ML,prep_inanim_all
The book from the chefs,0,ML,prep_inanim_all
The book from the architects,0,ML,prep_inanim_all
The book from the skaters,0,ML,prep_inanim_all
The book from the dancers,0,ML,prep_inanim_all
The book from the ministers,0,ML,prep_inanim_all
The book from the taxi drivers,0,ML,prep_inanim_all
The book from the assistants,0,ML,prep_inanim_all
The book from the executives,0,ML,prep_inanim_all
The book from the parents,0,ML,prep_inanim_all
The book by the guards,0,ML,prep_inanim_all
The book by the chefs,0,ML,prep_inanim_all
The book by the architects,0,ML,prep_inanim_all
The book by the skaters,0,ML,prep_inanim_all
The book by the dancers,0,ML,prep_inanim_all
The book by the ministers,0,ML,prep_inanim_all
The book by the taxi drivers,0,ML,prep_inanim_all
The book by the assistants,0,ML,prep_inanim_all
The book by the executives,0,ML,prep_inanim_all
The book by the parents,0,ML,prep_inanim_all
The game from the guards,0,ML,prep_inanim_all
The game from the chefs,0,ML,prep_inanim_all
The game from the architects,0,ML,prep_inanim_all
The game from the skaters,0,ML,prep_inanim_all
The game from the dancers,0,ML,prep_inanim_all
The game from the ministers,0,ML,prep_inanim_all
The game from the taxi drivers,0,ML,prep_inanim_all
The game from the assistants,0,ML,prep_inanim_all
The game from the executives,0,ML,prep_inanim_all
The game from the parents,0,ML,prep_inanim_all
The game by the guards,0,ML,prep_inanim_all
The game by the chefs,0,ML,prep_inanim_all
The game by the architects,0,ML,prep_inanim_all
The game by the skaters,0,ML,prep_inanim_all
The game by the dancers,0,ML,prep_inanim_all
The game by the ministers,0,ML,prep_inanim_all
The game by the taxi drivers,0,ML,prep_inanim_all
The game by the assistants,0,ML,prep_inanim_all
The game by the executives,0,ML,prep_inanim_all
The game by the parents,0,ML,prep_inanim_all
The song from the guards,0,ML,prep_inanim_all
The song from the chefs,0,ML,prep_inanim_all
The song from the architects,0,ML,prep_inanim_all
The song from the skaters,0,ML,prep_inanim_all
The song from the dancers,0,ML,prep_inanim_all
The song from the ministers,0,ML,prep_inanim_all
The song from the taxi drivers,0,ML,prep_inanim_all
The song from the assistants,0,ML,prep_inanim_all
The song from the executives,0,ML,prep_inanim_all
The song from the parents,0,ML,prep_inanim_all
The song by the guards,0,ML,prep_inanim_all
The song by the chefs,0,ML,prep_inanim_all
The song by the architects,0,ML,prep_inanim_all
The song by the skaters,0,ML,prep_inanim_all
The song by the dancers,0,ML,prep_inanim_all
The song by the ministers,0,ML,prep_inanim_all
The song by the taxi drivers,0,ML,prep_inanim_all
The song by the assistants,0,ML,prep_inanim_all
The song by the executives,0,ML,prep_inanim_all
The song by the parents,0,ML,prep_inanim_all
The picture from the guards,0,ML,prep_inanim_all
The picture from the chefs,0,ML,prep_inanim_all
The picture from the architects,0,ML,prep_inanim_all
The picture from the skaters,0,ML,prep_inanim_all
The picture from the dancers,0,ML,prep_inanim_all
The picture from the ministers,0,ML,prep_inanim_all
The picture from the taxi drivers,0,ML,prep_inanim_all
The picture from the assistants,0,ML,prep_inanim_all
The picture from the executives,0,ML,prep_inanim_all
The picture from the parents,0,ML,prep_inanim_all
The picture by the guards,0,ML,prep_inanim_all
The picture by the chefs,0,ML,prep_inanim_all
The picture by the architects,0,ML,prep_inanim_all
The picture by the skaters,0,ML,prep_inanim_all
The picture by the dancers,0,ML,prep_inanim_all
The picture by the ministers,0,ML,prep_inanim_all
The picture by the taxi drivers,0,ML,prep_inanim_all
The picture by the assistants,0,ML,prep_inanim_all
The picture by the executives,0,ML,prep_inanim_all
The picture by the parents,0,ML,prep_inanim_all
The painting from the guards,0,ML,prep_inanim_all
The painting from the chefs,0,ML,prep_inanim_all
The painting from the architects,0,ML,prep_inanim_all
The painting from the skaters,0,ML,prep_inanim_all
The painting from the dancers,0,ML,prep_inanim_all
The painting from the ministers,0,ML,prep_inanim_all
The painting from the taxi drivers,0,ML,prep_inanim_all
The painting from the assistants,0,ML,prep_inanim_all
The painting from the executives,0,ML,prep_inanim_all
The painting from the parents,0,ML,prep_inanim_all
The painting by the guards,0,ML,prep_inanim_all
The painting by the chefs,0,ML,prep_inanim_all
The painting by the architects,0,ML,prep_inanim_all
The painting by the skaters,0,ML,prep_inanim_all
The painting by the dancers,0,ML,prep_inanim_all
The painting by the ministers,0,ML,prep_inanim_all
The painting by the taxi drivers,0,ML,prep_inanim_all
The painting by the assistants,0,ML,prep_inanim_all
The painting by the executives,0,ML,prep_inanim_all
The painting by the parents,0,ML,prep_inanim_all
The novel from the guards,0,ML,prep_inanim_all
The novel from the chefs,0,ML,prep_inanim_all
The novel from the architects,0,ML,prep_inanim_all
The novel from the skaters,0,ML,prep_inanim_all
The novel from the dancers,0,ML,prep_inanim_all
The novel from the ministers,0,ML,prep_inanim_all
The novel from the taxi drivers,0,ML,prep_inanim_all
The novel from the assistants,0,ML,prep_inanim_all
The novel from the executives,0,ML,prep_inanim_all
The novel from the parents,0,ML,prep_inanim_all
The novel by the guards,0,ML,prep_inanim_all
The novel by the chefs,0,ML,prep_inanim_all
The novel by the architects,0,ML,prep_inanim_all
The novel by the skaters,0,ML,prep_inanim_all
The novel by the dancers,0,ML,prep_inanim_all
The novel by the ministers,0,ML,prep_inanim_all
The novel by the taxi drivers,0,ML,prep_inanim_all
The novel by the assistants,0,ML,prep_inanim_all
The novel by the executives,0,ML,prep_inanim_all
The novel by the parents,0,ML,prep_inanim_all
The poem from the guards,0,ML,prep_inanim_all
The poem from the chefs,0,ML,prep_inanim_all
The poem from the architects,0,ML,prep_inanim_all
The poem from the skaters,0,ML,prep_inanim_all
The poem from the dancers,0,ML,prep_inanim_all
The poem from the ministers,0,ML,prep_inanim_all
The poem from the taxi drivers,0,ML,prep_inanim_all
The poem from the assistants,0,ML,prep_inanim_all
The poem from the executives,0,ML,prep_inanim_all
The poem from the parents,0,ML,prep_inanim_all
The poem by the guards,0,ML,prep_inanim_all
The poem by the chefs,0,ML,prep_inanim_all
The poem by the architects,0,ML,prep_inanim_all
The poem by the skaters,0,ML,prep_inanim_all
The poem by the dancers,0,ML,prep_inanim_all
The poem by the ministers,0,ML,prep_inanim_all
The poem by the taxi drivers,0,ML,prep_inanim_all
The poem by the assistants,0,ML,prep_inanim_all
The poem by the executives,0,ML,prep_inanim_all
The poem by the parents,0,ML,prep_inanim_all
The show from the guards,0,ML,prep_inanim_all
The show from the chefs,0,ML,prep_inanim_all
The show from the architects,0,ML,prep_inanim_all
The show from the skaters,0,ML,prep_inanim_all
The show from the dancers,0,ML,prep_inanim_all
The show from the ministers,0,ML,prep_inanim_all
The show from the taxi drivers,0,ML,prep_inanim_all
The show from the assistants,0,ML,prep_inanim_all
The show from the executives,0,ML,prep_inanim_all
The show from the parents,0,ML,prep_inanim_all
The show by the guards,0,ML,prep_inanim_all
The show by the chefs,0,ML,prep_inanim_all
The show by the architects,0,ML,prep_inanim_all
The show by the skaters,0,ML,prep_inanim_all
The show by the dancers,0,ML,prep_inanim_all
The show by the ministers,0,ML,prep_inanim_all
The show by the taxi drivers,0,ML,prep_inanim_all
The show by the assistants,0,ML,prep_inanim_all
The show by the executives,0,ML,prep_inanim_all
The show by the parents,0,ML,prep_inanim_all
The movie from the guard,0,ML,prep_inanim_all
The movie from the chef,0,ML,prep_inanim_all
The movie from the architect,0,ML,prep_inanim_all
The movie from the skater,0,ML,prep_inanim_all
The movie from the dancer,0,ML,prep_inanim_all
The movie from the minister,0,ML,prep_inanim_all
The movie from the taxi driver,0,ML,prep_inanim_all
The movie from the assistant,0,ML,prep_inanim_all
The movie from the executive,0,ML,prep_inanim_all
The movie from the parent,0,ML,prep_inanim_all
The movie by the guard,0,ML,prep_inanim_all
The movie by the chef,0,ML,prep_inanim_all
The movie by the architect,0,ML,prep_inanim_all
The movie by the skater,0,ML,prep_inanim_all
The movie by the dancer,0,ML,prep_inanim_all
The movie by the minister,0,ML,prep_inanim_all
The movie by the taxi driver,0,ML,prep_inanim_all
The movie by the assistant,0,ML,prep_inanim_all
The movie by the executive,0,ML,prep_inanim_all
The movie by the parent,0,ML,prep_inanim_all
The book from the guard,0,ML,prep_inanim_all
The book from the chef,0,ML,prep_inanim_all
The book from the architect,0,ML,prep_inanim_all
The book from the skater,0,ML,prep_inanim_all
The book from the dancer,0,ML,prep_inanim_all
The book from the minister,0,ML,prep_inanim_all
The book from the taxi driver,0,ML,prep_inanim_all
The book from the assistant,0,ML,prep_inanim_all
The book from the executive,0,ML,prep_inanim_all
The book from the parent,0,ML,prep_inanim_all
The book by the guard,0,ML,prep_inanim_all
The book by the chef,0,ML,prep_inanim_all
The book by the architect,0,ML,prep_inanim_all
The book by the skater,0,ML,prep_inanim_all
The book by the dancer,0,ML,prep_inanim_all
The book by the minister,0,ML,prep_inanim_all
The book by the taxi driver,0,ML,prep_inanim_all
The book by the assistant,0,ML,prep_inanim_all
The book by the executive,0,ML,prep_inanim_all
The book by the parent,0,ML,prep_inanim_all
The game from the guard,0,ML,prep_inanim_all
The game from the chef,0,ML,prep_inanim_all
The game from the architect,0,ML,prep_inanim_all
The game from the skater,0,ML,prep_inanim_all
The game from the dancer,0,ML,prep_inanim_all
The game from the minister,0,ML,prep_inanim_all
The game from the taxi driver,0,ML,prep_inanim_all
The game from the assistant,0,ML,prep_inanim_all
The game from the executive,0,ML,prep_inanim_all
The game from the parent,0,ML,prep_inanim_all
The game by the guard,0,ML,prep_inanim_all
The game by the chef,0,ML,prep_inanim_all
The game by the architect,0,ML,prep_inanim_all
The game by the skater,0,ML,prep_inanim_all
The game by the dancer,0,ML,prep_inanim_all
The game by the minister,0,ML,prep_inanim_all
The game by the taxi driver,0,ML,prep_inanim_all
The game by the assistant,0,ML,prep_inanim_all
The game by the executive,0,ML,prep_inanim_all
The game by the parent,0,ML,prep_inanim_all
The song from the guard,0,ML,prep_inanim_all
The song from the chef,0,ML,prep_inanim_all
The song from the architect,0,ML,prep_inanim_all
The song from the skater,0,ML,prep_inanim_all
The song from the dancer,0,ML,prep_inanim_all
The song from the minister,0,ML,prep_inanim_all
The song from the taxi driver,0,ML,prep_inanim_all
The song from the assistant,0,ML,prep_inanim_all
The song from the executive,0,ML,prep_inanim_all
The song from the parent,0,ML,prep_inanim_all
The song by the guard,0,ML,prep_inanim_all
The song by the chef,0,ML,prep_inanim_all
The song by the architect,0,ML,prep_inanim_all
The song by the skater,0,ML,prep_inanim_all
The song by the dancer,0,ML,prep_inanim_all
The song by the minister,0,ML,prep_inanim_all
The song by the taxi driver,0,ML,prep_inanim_all
The song by the assistant,0,ML,prep_inanim_all
The song by the executive,0,ML,prep_inanim_all
The song by the parent,0,ML,prep_inanim_all
The picture from the guard,0,ML,prep_inanim_all
