,clean,corrupted,corrupted_hard,correct_idx,incorrect_idx
762,"Then, Justin and Jennifer went to the station. Justin gave a bone to","Then, Justin and Jennifer went to the station. Nathan gave a bone to","Then, Justin and Jennifer went to the station. Jennifer gave a bone to",16348,10799
447,"After Jason and Michelle went to the office, Michelle gave a computer to","After Jason and Michelle went to the office, Richard gave a computer to","After Jason and Michelle went to the office, Jason gave a computer to",8982,16738
551,"Then, Melissa and Crystal were working at the restaurant. Melissa decided to give a ring to","Then, Melissa and Crystal were working at the restaurant. Amber decided to give a ring to","Then, Melissa and Crystal were working at the restaurant. Crystal decided to give a ring to",12969,24164
320,"Then, Jeffrey and Matthew were thinking about going to the hospital. Jeffrey wanted to give a snack to","Then, Jeffrey and Matthew were thinking about going to the hospital. Gregory wanted to give a snack to","Then, Jeffrey and Matthew were thinking about going to the hospital. Matthew wanted to give a snack to",9308,19627
446,"Then, Melissa and Joshua had a lot of fun at the school. Joshua gave a snack to","Then, Melissa and Joshua had a lot of fun at the school. Steven gave a snack to","Then, Melissa and Joshua had a lot of fun at the school. Melissa gave a snack to",24164,20700
919,"Then, Lindsay and Erica went to the station. Erica gave a bone to","Then, Lindsay and Erica went to the station. Brandon gave a bone to","Then, Lindsay and Erica went to the station. Lindsay gave a bone to",33127,45187
531,"Then, Matthew and Bryan went to the restaurant. Matthew gave a ring to","Then, Matthew and Bryan went to the restaurant. Travis gave a ring to","Then, Matthew and Bryan went to the restaurant. Bryan gave a ring to",17857,9308
375,"Then, Amanda and Kristen went to the restaurant. Kristen gave a bone to","Then, Amanda and Kristen went to the restaurant. Lauren gave a bone to","Then, Amanda and Kristen went to the restaurant. Amanda gave a bone to",23040,44467
393,"Then, Melissa and Stephanie went to the store. Melissa gave a bone to","Then, Melissa and Stephanie went to the store. Jose gave a bone to","Then, Melissa and Stephanie went to the store. Stephanie gave a bone to",26085,24164
455,"After Andrea and Richard went to the station, Andrea gave a ring to","After Andrea and Richard went to the station, Charles gave a ring to","After Andrea and Richard went to the station, Richard gave a ring to",6219,23174
339,"After Elizabeth and Amy went to the school, Amy gave a computer to","After Elizabeth and Amy went to the school, Andrea gave a computer to","After Elizabeth and Amy went to the school, Elizabeth gave a computer to",10674,14235
911,"Then, Erica and Elizabeth were thinking about going to the restaurant. Elizabeth wanted to give a drink to","Then, Erica and Elizabeth were thinking about going to the restaurant. Amy wanted to give a drink to","Then, Erica and Elizabeth were thinking about going to the restaurant. Erica wanted to give a drink to",45187,10674
908,"Then, Jessica and Steven were thinking about going to the school. Jessica wanted to give a bone to","Then, Jessica and Steven were thinking about going to the school. Jose wanted to give a bone to","Then, Jessica and Steven were thinking about going to the school. Steven wanted to give a bone to",8239,17352
385,"After Samantha and Heather went to the station, Heather gave a ring to","After Samantha and Heather went to the station, Charles gave a ring to","After Samantha and Heather went to the station, Samantha gave a ring to",34778,24253
822,"Then, Lindsey and Jessica were thinking about going to the store. Jessica wanted to give a necklace to","Then, Lindsey and Jessica were thinking about going to the store. Christine wanted to give a necklace to","Then, Lindsey and Jessica were thinking about going to the store. Lindsey wanted to give a necklace to",30334,17352
126,"Then, Ryan and Rebecca had a long argument, and afterwards Rebecca said to","Then, Ryan and Rebecca had a long argument, and afterwards Lindsey said to","Then, Ryan and Rebecca had a long argument, and afterwards Ryan said to",6047,23489
936,"Then, Patrick and Laura were thinking about going to the station. Patrick wanted to give a snack to","Then, Patrick and Laura were thinking about going to the station. Rachel wanted to give a snack to","Then, Patrick and Laura were thinking about going to the station. Laura wanted to give a snack to",16753,9925
963,"Then, Matthew and Megan were working at the garden. Matthew decided to give a kiss to","Then, Matthew and Megan were working at the garden. Heather decided to give a kiss to","Then, Matthew and Megan were working at the garden. Megan decided to give a kiss to",27616,9308
575,"Then, Mark and Jacob went to the station. Jacob gave a computer to","Then, Mark and Jacob went to the station. Christine gave a computer to","Then, Mark and Jacob went to the station. Mark gave a computer to",2940,12806
749,"Then, Amy and Sara went to the garden. Sara gave a kiss to","Then, Amy and Sara went to the garden. Charles gave a kiss to","Then, Amy and Sara went to the garden. Amy gave a kiss to",14235,24799
620,"When Joshua and Ashley got a ring at the house, Ashley decided to give it to","When Joshua and Ashley got a ring at the house, Erica decided to give it to","When Joshua and Ashley got a ring at the house, Joshua decided to give it to",20700,20899
785,"Then, Benjamin and Bryan had a lot of fun at the station. Bryan gave a kiss to","Then, Benjamin and Bryan had a lot of fun at the station. Kimberly gave a kiss to","Then, Benjamin and Bryan had a lot of fun at the station. Benjamin gave a kiss to",14533,17857
540,"When Cody and Lindsay got a basketball at the restaurant, Lindsay decided to give it to","When Cody and Lindsay got a basketball at the restaurant, Brittany decided to give it to","When Cody and Lindsay got a basketball at the restaurant, Cody decided to give it to",27035,33127
707,"Then, Jamie and Benjamin were thinking about going to the garden. Benjamin wanted to give a kiss to","Then, Jamie and Benjamin were thinking about going to the garden. Mark wanted to give a kiss to","Then, Jamie and Benjamin were thinking about going to the garden. Jamie wanted to give a kiss to",17826,14533
591,"When Daniel and Benjamin got a drink at the store, Benjamin decided to give it to","When Daniel and Benjamin got a drink at the store, Jeffrey decided to give it to","When Daniel and Benjamin got a drink at the store, Daniel decided to give it to",7806,14533
159,"Then, Christopher and Cody were working at the garden. Cody decided to give a computer to","Then, Christopher and Cody were working at the garden. Amber decided to give a computer to","Then, Christopher and Cody were working at the garden. Christopher decided to give a computer to",12803,27035
459,"When Steven and Erica got a bone at the garden, Steven decided to give it to","When Steven and Erica got a bone at the garden, Kyle decided to give it to","When Steven and Erica got a bone at the garden, Erica decided to give it to",45187,8239
894,"Then, Erica and Joseph had a lot of fun at the school. Joseph gave a ring to","Then, Erica and Joseph had a lot of fun at the school. Nicole gave a ring to","Then, Erica and Joseph had a lot of fun at the school. Erica gave a ring to",45187,7212
893,"Then, Andrew and John had a long argument, and afterwards Andrew said to","Then, Andrew and John had a long argument, and afterwards Jesse said to","Then, Andrew and John had a long argument, and afterwards John said to",1757,6858
809,"Then, Elizabeth and Kelly were working at the restaurant. Elizabeth decided to give a computer to","Then, Elizabeth and Kelly were working at the restaurant. Anthony decided to give a computer to","Then, Elizabeth and Kelly were working at the restaurant. Kelly decided to give a computer to",9077,10674
387,"Then, Kyle and Richard were thinking about going to the house. Kyle wanted to give a basketball to","Then, Kyle and Richard were thinking about going to the house. Erin wanted to give a basketball to","Then, Kyle and Richard were thinking about going to the house. Richard wanted to give a basketball to",6219,14316
325,"Then, Michelle and Bryan had a lot of fun at the office. Michelle gave a basketball to","Then, Michelle and Bryan had a lot of fun at the office. Dustin gave a basketball to","Then, Michelle and Bryan had a lot of fun at the office. Bryan gave a basketball to",17857,16738
837,"When Rebecca and Bradley got a kiss at the office, Rebecca decided to give it to","When Rebecca and Bradley got a kiss at the office, Eric decided to give it to","When Rebecca and Bradley got a kiss at the office, Bradley decided to give it to",16182,23489
156,"Then, Mark and Justin went to the station. Mark gave a bone to","Then, Mark and Justin went to the station. Sara gave a bone to","Then, Mark and Justin went to the station. Justin gave a bone to",10799,2940
178,"After Rachel and Tyler went to the office, Tyler gave a snack to","After Rachel and Tyler went to the office, Adam gave a snack to","After Rachel and Tyler went to the office, Rachel gave a snack to",15984,14886
117,"After Richard and Amy went to the store, Amy gave a necklace to","After Richard and Amy went to the store, Eric gave a necklace to","After Richard and Amy went to the store, Richard gave a necklace to",6219,14235
779,"When Crystal and Justin got a necklace at the store, Crystal decided to give it to","When Crystal and Justin got a necklace at the store, Mary decided to give it to","When Crystal and Justin got a necklace at the store, Justin decided to give it to",10799,12969
621,"When Katherine and Scott got a ring at the school, Katherine decided to give it to","When Katherine and Scott got a ring at the school, Erica decided to give it to","When Katherine and Scott got a ring at the school, Scott decided to give it to",4746,32719
466,"When Jessica and Jonathan got a basketball at the store, Jessica decided to give it to","When Jessica and Jonathan got a basketball at the store, Adam decided to give it to","When Jessica and Jonathan got a basketball at the store, Jonathan decided to give it to",11232,17352
527,"After Andrea and Richard went to the store, Andrea gave a computer to","After Andrea and Richard went to the store, David gave a computer to","After Andrea and Richard went to the store, Richard gave a computer to",6219,23174
672,"After Jeremy and Crystal went to the station, Crystal gave a ring to","After Jeremy and Crystal went to the station, Elizabeth gave a ring to","After Jeremy and Crystal went to the station, Jeremy gave a ring to",11753,12969
221,"Then, Lindsay and Erica were thinking about going to the house. Lindsay wanted to give a drink to","Then, Lindsay and Erica were thinking about going to the house. Brittany wanted to give a drink to","Then, Lindsay and Erica were thinking about going to the house. Erica wanted to give a drink to",45187,33127
91,"Then, Thomas and Danielle were working at the garden. Thomas decided to give a ring to","Then, Thomas and Danielle were working at the garden. Nicole decided to give a ring to","Then, Thomas and Danielle were working at the garden. Danielle decided to give a ring to",39808,5658
68,"Then, Sean and Patrick were thinking about going to the store. Sean wanted to give a computer to","Then, Sean and Patrick were thinking about going to the store. Sarah wanted to give a computer to","Then, Sean and Patrick were thinking about going to the store. Patrick wanted to give a computer to",9925,11465
782,"Then, Allison and Daniel were thinking about going to the restaurant. Daniel wanted to give a basketball to","Then, Allison and Daniel were thinking about going to the restaurant. Shannon wanted to give a basketball to","Then, Allison and Daniel were thinking about going to the restaurant. Allison wanted to give a basketball to",33461,7806
108,"After Mary and Jesse went to the store, Mary gave a ring to","After Mary and Jesse went to the store, Benjamin gave a ring to","After Mary and Jesse went to the store, Jesse gave a ring to",18033,5335
869,"Then, Heather and Benjamin had a lot of fun at the restaurant. Heather gave a computer to","Then, Heather and Benjamin had a lot of fun at the restaurant. Christopher gave a computer to","Then, Heather and Benjamin had a lot of fun at the restaurant. Benjamin gave a computer to",14533,24253
130,"Then, Angela and Samuel were working at the garden. Samuel decided to give a drink to","Then, Angela and Samuel were working at the garden. Mark decided to give a drink to","Then, Angela and Samuel were working at the garden. Angela decided to give a drink to",17799,17100
914,"Then, Brian and Emily went to the school. Brian gave a bone to","Then, Brian and Emily went to the school. Patrick gave a bone to","Then, Brian and Emily went to the school. Emily gave a bone to",17608,8403
983,"Then, Megan and Melissa had a lot of fun at the office. Melissa gave a drink to","Then, Megan and Melissa had a lot of fun at the office. Dustin gave a drink to","Then, Megan and Melissa had a lot of fun at the office. Megan gave a drink to",27616,24164
9,"Then, Aaron and Elizabeth had a lot of fun at the garden. Aaron gave a basketball to","Then, Aaron and Elizabeth had a lot of fun at the garden. Megan gave a basketball to","Then, Aaron and Elizabeth had a lot of fun at the garden. Elizabeth gave a basketball to",10674,12139
84,"Then, Samantha and Andrea had a long argument, and afterwards Samantha said to","Then, Samantha and Andrea had a long argument, and afterwards Allison said to","Then, Samantha and Andrea had a long argument, and afterwards Andrea said to",23174,34778
657,"When Erin and Travis got a computer at the garden, Travis decided to give it to","When Erin and Travis got a computer at the garden, Justin decided to give it to","When Erin and Travis got a computer at the garden, Erin decided to give it to",28894,19804
814,"After Stephen and John went to the school, John gave a basketball to","After Stephen and John went to the school, Brian gave a basketball to","After Stephen and John went to the school, Stephen gave a basketball to",7970,1757
429,"When Danielle and Dustin got a drink at the house, Dustin decided to give it to","When Danielle and Dustin got a drink at the house, Nicole decided to give it to","When Danielle and Dustin got a drink at the house, Danielle decided to give it to",39808,37616
289,"Then, Aaron and Kenneth were thinking about going to the office. Aaron wanted to give a computer to","Then, Aaron and Kenneth were thinking about going to the office. Erin wanted to give a computer to","Then, Aaron and Kenneth were thinking about going to the office. Kenneth wanted to give a computer to",23632,12139
943,"After Lindsay and Nathan went to the school, Nathan gave a kiss to","After Lindsay and Nathan went to the school, Joseph gave a kiss to","After Lindsay and Nathan went to the school, Lindsay gave a kiss to",33127,18106
191,"Then, Allison and Brian had a lot of fun at the restaurant. Allison gave a computer to","Then, Allison and Brian had a lot of fun at the restaurant. Travis gave a computer to","Then, Allison and Brian had a lot of fun at the restaurant. Brian gave a computer to",8403,33461
209,"Then, Brandon and Jose had a long argument, and afterwards Jose said to","Then, Brandon and Jose had a long argument, and afterwards Kevin said to","Then, Brandon and Jose had a long argument, and afterwards Brandon said to",14328,5264
788,"Then, Robert and Jesse were working at the office. Robert decided to give a bone to","Then, Robert and Jesse were working at the office. Jason decided to give a bone to","Then, Robert and Jesse were working at the office. Jesse decided to give a bone to",18033,5199
123,"Then, Jose and Kevin had a lot of fun at the hospital. Jose gave a necklace to","Then, Jose and Kevin had a lot of fun at the hospital. Justin gave a necklace to","Then, Jose and Kevin had a lot of fun at the hospital. Kevin gave a necklace to",7939,5264
597,"Then, Nicole and Gregory were thinking about going to the office. Nicole wanted to give a drink to","Then, Nicole and Gregory were thinking about going to the office. Lindsey wanted to give a drink to","Then, Nicole and Gregory were thinking about going to the office. Gregory wanted to give a drink to",20653,25176
290,"Then, Mark and Cody had a lot of fun at the station. Cody gave a bone to","Then, Mark and Cody had a lot of fun at the station. Mary gave a bone to","Then, Mark and Cody had a lot of fun at the station. Mark gave a bone to",2940,27035
794,"When Justin and John got a kiss at the station, John decided to give it to","When Justin and John got a kiss at the station, Sarah decided to give it to","When Justin and John got a kiss at the station, Justin decided to give it to",10799,1757
937,"Then, Amber and Gregory had a lot of fun at the garden. Amber gave a bone to","Then, Amber and Gregory had a lot of fun at the garden. Rachel gave a bone to","Then, Amber and Gregory had a lot of fun at the garden. Gregory gave a bone to",20653,21896
351,"Then, Joshua and Amanda had a lot of fun at the store. Amanda gave a ring to","Then, Joshua and Amanda had a lot of fun at the store. Matthew gave a ring to","Then, Joshua and Amanda had a lot of fun at the store. Joshua gave a ring to",20700,23040
295,"Then, Nicholas and Justin were working at the office. Justin decided to give a snack to","Then, Nicholas and Justin were working at the office. Sarah decided to give a snack to","Then, Nicholas and Justin were working at the office. Nicholas decided to give a snack to",20320,10799
25,"Then, Kenneth and Laura went to the station. Kenneth gave a snack to","Then, Kenneth and Laura went to the station. Thomas gave a snack to","Then, Kenneth and Laura went to the station. Laura gave a snack to",16753,23632
967,"Then, Jessica and Samantha went to the garden. Samantha gave a kiss to","Then, Jessica and Samantha went to the garden. Joseph gave a kiss to","Then, Jessica and Samantha went to the garden. Jessica gave a kiss to",17352,34778
124,"After Bryan and Sara went to the station, Sara gave a snack to","After Bryan and Sara went to the station, Christopher gave a snack to","After Bryan and Sara went to the station, Bryan gave a snack to",17857,24799
146,"Then, Nathan and Jonathan were working at the store. Nathan decided to give a snack to","Then, Nathan and Jonathan were working at the store. Kenneth decided to give a snack to","Then, Nathan and Jonathan were working at the store. Jonathan decided to give a snack to",11232,18106
697,"Then, Kelly and Danielle were working at the garden. Danielle decided to give a ring to","Then, Kelly and Danielle were working at the garden. Richard decided to give a ring to","Then, Kelly and Danielle were working at the garden. Kelly decided to give a ring to",9077,39808
888,"After Justin and Tyler went to the store, Tyler gave a ring to","After Justin and Tyler went to the store, Amy gave a ring to","After Justin and Tyler went to the store, Justin gave a ring to",10799,14886
549,"Then, Kenneth and Shannon had a long argument, and afterwards Shannon said to","Then, Kenneth and Shannon had a long argument, and afterwards Daniel said to","Then, Kenneth and Shannon had a long argument, and afterwards Kenneth said to",23632,28108
111,"Then, Jamie and Emily had a long argument, and afterwards Jamie said to","Then, Jamie and Emily had a long argument, and afterwards Dustin said to","Then, Jamie and Emily had a long argument, and afterwards Emily said to",17608,17826
85,"Then, Jeffrey and Jamie had a lot of fun at the restaurant. Jeffrey gave a basketball to","Then, Jeffrey and Jamie had a lot of fun at the restaurant. Kelly gave a basketball to","Then, Jeffrey and Jamie had a lot of fun at the restaurant. Jamie gave a basketball to",17826,19627
491,"When Amy and Mark got a snack at the hospital, Amy decided to give it to","When Amy and Mark got a snack at the hospital, Jennifer decided to give it to","When Amy and Mark got a snack at the hospital, Mark decided to give it to",2940,14235
288,"Then, Aaron and Joseph were working at the office. Aaron decided to give a ring to","Then, Aaron and Joseph were working at the office. Adam decided to give a ring to","Then, Aaron and Joseph were working at the office. Joseph decided to give a ring to",7212,12139
694,"Then, Allison and Nathan had a lot of fun at the restaurant. Nathan gave a ring to","Then, Allison and Nathan had a lot of fun at the restaurant. Christina gave a ring to","Then, Allison and Nathan had a lot of fun at the restaurant. Allison gave a ring to",33461,18106
838,"When Megan and Jesse got a snack at the store, Jesse decided to give it to","When Megan and Jesse got a snack at the store, Jeremy decided to give it to","When Megan and Jesse got a snack at the store, Megan decided to give it to",27616,18033
386,"Then, Alexander and Amy had a long argument, and afterwards Amy said to","Then, Alexander and Amy had a long argument, and afterwards Samuel said to","Then, Alexander and Amy had a long argument, and afterwards Alexander said to",10009,14235
709,"Then, Jesse and Megan were working at the garden. Megan decided to give a basketball to","Then, Jesse and Megan were working at the garden. Anthony decided to give a basketball to","Then, Jesse and Megan were working at the garden. Jesse decided to give a basketball to",18033,27616
334,"After Stephen and Cody went to the garden, Stephen gave a ring to","After Stephen and Cody went to the garden, Christopher gave a ring to","After Stephen and Cody went to the garden, Cody gave a ring to",27035,7970
848,"Then, Patrick and Nicole were working at the store. Patrick decided to give a bone to","Then, Patrick and Nicole were working at the store. Stephen decided to give a bone to","Then, Patrick and Nicole were working at the store. Nicole decided to give a bone to",25176,9925
362,"Then, Brian and Joseph were working at the office. Joseph decided to give a computer to","Then, Brian and Joseph were working at the office. Kristen decided to give a computer to","Then, Brian and Joseph were working at the office. Brian decided to give a computer to",8403,7212
239,"Then, Amanda and Joshua were working at the store. Amanda decided to give a basketball to","Then, Amanda and Joshua were working at the store. Rebecca decided to give a basketball to","Then, Amanda and Joshua were working at the store. Joshua decided to give a basketball to",20700,23040
736,"Then, Dustin and Jose had a long argument, and afterwards Dustin said to","Then, Dustin and Jose had a long argument, and afterwards Kristen said to","Then, Dustin and Jose had a long argument, and afterwards Jose said to",5264,37616
460,"Then, Joseph and Paul went to the office. Joseph gave a kiss to","Then, Joseph and Paul went to the office. Lisa gave a kiss to","Then, Joseph and Paul went to the office. Paul gave a kiss to",3362,7212
533,"When Stephen and William got a basketball at the hospital, Stephen decided to give it to","When Stephen and William got a basketball at the hospital, Amber decided to give it to","When Stephen and William got a basketball at the hospital, William decided to give it to",3977,7970
321,"Then, Sean and Stephanie had a long argument, and afterwards Sean said to","Then, Sean and Stephanie had a long argument, and afterwards Charles said to","Then, Sean and Stephanie had a long argument, and afterwards Stephanie said to",26085,11465
511,"Then, Jennifer and Adam had a lot of fun at the station. Adam gave a drink to","Then, Jennifer and Adam had a lot of fun at the station. Jamie gave a drink to","Then, Jennifer and Adam had a lot of fun at the station. Jennifer gave a drink to",16348,7244
786,"Then, Jamie and Stephen went to the school. Stephen gave a snack to","Then, Jamie and Stephen went to the school. Dustin gave a snack to","Then, Jamie and Stephen went to the school. Jamie gave a snack to",17826,7970
489,"After Nathan and Megan went to the house, Megan gave a ring to","After Nathan and Megan went to the house, Michael gave a ring to","After Nathan and Megan went to the house, Nathan gave a ring to",18106,27616
199,"Then, Scott and Joshua had a long argument, and afterwards Joshua said to","Then, Scott and Joshua had a long argument, and afterwards Kelly said to","Then, Scott and Joshua had a long argument, and afterwards Scott said to",4746,20700
939,"Then, Megan and Richard had a lot of fun at the store. Megan gave a kiss to","Then, Megan and Richard had a lot of fun at the store. Lisa gave a kiss to","Then, Megan and Richard had a lot of fun at the store. Richard gave a kiss to",6219,27616
151,"Then, Alexander and Jonathan went to the school. Jonathan gave a ring to","Then, Alexander and Jonathan went to the school. Sean gave a ring to","Then, Alexander and Jonathan went to the school. Alexander gave a ring to",10009,11232
422,"Then, Stephanie and Jessica were working at the garden. Jessica decided to give a drink to","Then, Stephanie and Jessica were working at the garden. Adam decided to give a drink to","Then, Stephanie and Jessica were working at the garden. Stephanie decided to give a drink to",26085,17352
148,"Then, Katie and Ryan were thinking about going to the office. Ryan wanted to give a kiss to","Then, Katie and Ryan were thinking about going to the office. Michael wanted to give a kiss to","Then, Katie and Ryan were thinking about going to the office. Katie wanted to give a kiss to",24721,6047
820,"Then, Anthony and Samuel were working at the hospital. Samuel decided to give a basketball to","Then, Anthony and Samuel were working at the hospital. Christina decided to give a basketball to","Then, Anthony and Samuel were working at the hospital. Anthony decided to give a basketball to",9953,17100
436,"After Kyle and Jessica went to the garden, Jessica gave a necklace to","After Kyle and Jessica went to the garden, Robert gave a necklace to","After Kyle and Jessica went to the garden, Kyle gave a necklace to",14316,17352
