clean,corrupted,correct_idx
The quest lasted from the year 1559 to the year 15,The quest lasted from the year 1501 to the year 15,59
The existence lasted from the year 1224 to the year 12,The existence lasted from the year 1201 to the year 12,24
The employment lasted from the year 1424 to the year 14,The employment lasted from the year 1401 to the year 14,24
The trip lasted from the year 1448 to the year 14,The trip lasted from the year 1401 to the year 14,48
The coma lasted from the year 1477 to the year 14,The coma lasted from the year 1401 to the year 14,77
The deal lasted from the year 1750 to the year 17,The deal lasted from the year 1701 to the year 17,50
The trip lasted from the year 1380 to the year 13,The trip lasted from the year 1301 to the year 13,80
The reign lasted from the year 1798 to the year 17,The reign lasted from the year 1701 to the year 17,98
The exchange lasted from the year 1488 to the year 14,The exchange lasted from the year 1401 to the year 14,88
The tests lasted from the year 1233 to the year 12,The tests lasted from the year 1201 to the year 12,33
The exchange lasted from the year 1562 to the year 15,The exchange lasted from the year 1501 to the year 15,62
The exchange lasted from the year 1282 to the year 12,The exchange lasted from the year 1201 to the year 12,82
The order lasted from the year 1485 to the year 14,The order lasted from the year 1401 to the year 14,85
The practice lasted from the year 1412 to the year 14,The practice lasted from the year 1401 to the year 14,12
The exchange lasted from the year 1228 to the year 12,The exchange lasted from the year 1201 to the year 12,28
The study lasted from the year 1781 to the year 17,The study lasted from the year 1701 to the year 17,81
The order lasted from the year 1517 to the year 15,The order lasted from the year 1501 to the year 15,17
The campaign lasted from the year 1267 to the year 12,The campaign lasted from the year 1201 to the year 12,67
The riot lasted from the year 1267 to the year 12,The riot lasted from the year 1201 to the year 12,67
The rise lasted from the year 1210 to the year 12,The rise lasted from the year 1201 to the year 12,10
The case lasted from the year 1707 to the year 17,The case lasted from the year 1701 to the year 17,7
The exchange lasted from the year 1703 to the year 17,The exchange lasted from the year 1701 to the year 17,3
The reign lasted from the year 1683 to the year 16,The reign lasted from the year 1601 to the year 16,83
The order lasted from the year 1638 to the year 16,The order lasted from the year 1601 to the year 16,38
The effect lasted from the year 1227 to the year 12,The effect lasted from the year 1201 to the year 12,27
The campaign lasted from the year 1542 to the year 15,The campaign lasted from the year 1501 to the year 15,42
The employment lasted from the year 1495 to the year 14,The employment lasted from the year 1401 to the year 14,95
The test lasted from the year 1675 to the year 16,The test lasted from the year 1601 to the year 16,75
The coma lasted from the year 1709 to the year 17,The coma lasted from the year 1701 to the year 17,9
The case lasted from the year 1521 to the year 15,The case lasted from the year 1501 to the year 15,21
The existence lasted from the year 1491 to the year 14,The existence lasted from the year 1401 to the year 14,91
The test lasted from the year 1486 to the year 14,The test lasted from the year 1401 to the year 14,86
The development lasted from the year 1523 to the year 15,The development lasted from the year 1501 to the year 15,23
The reign lasted from the year 1653 to the year 16,The reign lasted from the year 1601 to the year 16,53
The deal lasted from the year 1754 to the year 17,The deal lasted from the year 1701 to the year 17,54
The trial lasted from the year 1614 to the year 16,The trial lasted from the year 1601 to the year 16,14
The growth lasted from the year 1709 to the year 17,The growth lasted from the year 1701 to the year 17,9
The challenge lasted from the year 1674 to the year 16,The challenge lasted from the year 1601 to the year 16,74
The deal lasted from the year 1518 to the year 15,The deal lasted from the year 1501 to the year 15,18
The work lasted from the year 1777 to the year 17,The work lasted from the year 1701 to the year 17,77
The development lasted from the year 1712 to the year 17,The development lasted from the year 1701 to the year 17,12
The employment lasted from the year 1639 to the year 16,The employment lasted from the year 1601 to the year 16,39
The challenge lasted from the year 1704 to the year 17,The challenge lasted from the year 1701 to the year 17,4
The program lasted from the year 1221 to the year 12,The program lasted from the year 1201 to the year 12,21
The program lasted from the year 1708 to the year 17,The program lasted from the year 1701 to the year 17,8
The effect lasted from the year 1671 to the year 16,The effect lasted from the year 1601 to the year 16,71
The trip lasted from the year 1709 to the year 17,The trip lasted from the year 1701 to the year 17,9
The order lasted from the year 1228 to the year 12,The order lasted from the year 1201 to the year 12,28
The effect lasted from the year 1762 to the year 17,The effect lasted from the year 1701 to the year 17,62
The accord lasted from the year 1684 to the year 16,The accord lasted from the year 1601 to the year 16,84
The contact lasted from the year 1771 to the year 17,The contact lasted from the year 1701 to the year 17,71
The employment lasted from the year 1463 to the year 14,The employment lasted from the year 1401 to the year 14,63
The trial lasted from the year 1707 to the year 17,The trial lasted from the year 1701 to the year 17,7
The operation lasted from the year 1632 to the year 16,The operation lasted from the year 1601 to the year 16,32
The work lasted from the year 1710 to the year 17,The work lasted from the year 1701 to the year 17,10
The growth lasted from the year 1749 to the year 17,The growth lasted from the year 1701 to the year 17,49
The plan lasted from the year 1695 to the year 16,The plan lasted from the year 1601 to the year 16,95
The construction lasted from the year 1657 to the year 16,The construction lasted from the year 1601 to the year 16,57
The challenge lasted from the year 1790 to the year 17,The challenge lasted from the year 1701 to the year 17,90
The rise lasted from the year 1617 to the year 16,The rise lasted from the year 1601 to the year 16,17
The test lasted from the year 1443 to the year 14,The test lasted from the year 1401 to the year 14,43
The coma lasted from the year 1278 to the year 12,The coma lasted from the year 1201 to the year 12,78
The rise lasted from the year 1796 to the year 17,The rise lasted from the year 1701 to the year 17,96
The deal lasted from the year 1791 to the year 17,The deal lasted from the year 1701 to the year 17,91
The campaign lasted from the year 1451 to the year 14,The campaign lasted from the year 1401 to the year 14,51
The process lasted from the year 1704 to the year 17,The process lasted from the year 1701 to the year 17,4
The order lasted from the year 1471 to the year 14,The order lasted from the year 1401 to the year 14,71
The effect lasted from the year 1756 to the year 17,The effect lasted from the year 1701 to the year 17,56
The case lasted from the year 1702 to the year 17,The case lasted from the year 1701 to the year 17,2
The case lasted from the year 1484 to the year 14,The case lasted from the year 1401 to the year 14,84
The fall lasted from the year 1719 to the year 17,The fall lasted from the year 1701 to the year 17,19
The work lasted from the year 1481 to the year 14,The work lasted from the year 1401 to the year 14,81
The agreement lasted from the year 1789 to the year 17,The agreement lasted from the year 1701 to the year 17,89
The accord lasted from the year 1272 to the year 12,The accord lasted from the year 1201 to the year 12,72
The study lasted from the year 1702 to the year 17,The study lasted from the year 1701 to the year 17,2
The program lasted from the year 1229 to the year 12,The program lasted from the year 1201 to the year 12,29
The effect lasted from the year 1550 to the year 15,The effect lasted from the year 1501 to the year 15,50
The quest lasted from the year 1471 to the year 14,The quest lasted from the year 1401 to the year 14,71
The attack lasted from the year 1449 to the year 14,The attack lasted from the year 1401 to the year 14,49
The test lasted from the year 1617 to the year 16,The test lasted from the year 1601 to the year 16,17
The tour lasted from the year 1709 to the year 17,The tour lasted from the year 1701 to the year 17,9
The construction lasted from the year 1560 to the year 15,The construction lasted from the year 1501 to the year 15,60
The exchange lasted from the year 1445 to the year 14,The exchange lasted from the year 1401 to the year 14,45
The quest lasted from the year 1234 to the year 12,The quest lasted from the year 1201 to the year 12,34
The project lasted from the year 1439 to the year 14,The project lasted from the year 1401 to the year 14,39
The quest lasted from the year 1513 to the year 15,The quest lasted from the year 1501 to the year 15,13
The existence lasted from the year 1795 to the year 17,The existence lasted from the year 1701 to the year 17,95
The contact lasted from the year 1554 to the year 15,The contact lasted from the year 1501 to the year 15,54
The deal lasted from the year 1764 to the year 17,The deal lasted from the year 1701 to the year 17,64
The agreement lasted from the year 1764 to the year 17,The agreement lasted from the year 1701 to the year 17,64
The rule lasted from the year 1240 to the year 12,The rule lasted from the year 1201 to the year 12,40
The contract lasted from the year 1655 to the year 16,The contract lasted from the year 1601 to the year 16,55
The growth lasted from the year 1732 to the year 17,The growth lasted from the year 1701 to the year 17,32
The process lasted from the year 1686 to the year 16,The process lasted from the year 1601 to the year 16,86
The existence lasted from the year 1233 to the year 12,The existence lasted from the year 1201 to the year 12,33
The operation lasted from the year 1465 to the year 14,The operation lasted from the year 1401 to the year 14,65
The case lasted from the year 1423 to the year 14,The case lasted from the year 1401 to the year 14,23
The testing lasted from the year 1479 to the year 14,The testing lasted from the year 1401 to the year 14,79
The program lasted from the year 1287 to the year 12,The program lasted from the year 1201 to the year 12,87
The coma lasted from the year 1671 to the year 16,The coma lasted from the year 1601 to the year 16,71
The campaign lasted from the year 1443 to the year 14,The campaign lasted from the year 1401 to the year 14,43
The progress lasted from the year 1289 to the year 12,The progress lasted from the year 1201 to the year 12,89
The development lasted from the year 1769 to the year 17,The development lasted from the year 1701 to the year 17,69
The plan lasted from the year 1723 to the year 17,The plan lasted from the year 1701 to the year 17,23
The process lasted from the year 1745 to the year 17,The process lasted from the year 1701 to the year 17,45
The trip lasted from the year 1544 to the year 15,The trip lasted from the year 1501 to the year 15,44
The test lasted from the year 1433 to the year 14,The test lasted from the year 1401 to the year 14,33
The relationship lasted from the year 1486 to the year 14,The relationship lasted from the year 1401 to the year 14,86
The shift lasted from the year 1260 to the year 12,The shift lasted from the year 1201 to the year 12,60
The construction lasted from the year 1419 to the year 14,The construction lasted from the year 1401 to the year 14,19
The tour lasted from the year 1566 to the year 15,The tour lasted from the year 1501 to the year 15,66
The operation lasted from the year 1586 to the year 15,The operation lasted from the year 1501 to the year 15,86
The coma lasted from the year 1480 to the year 14,The coma lasted from the year 1401 to the year 14,80
The agreement lasted from the year 1707 to the year 17,The agreement lasted from the year 1701 to the year 17,7
The accord lasted from the year 1635 to the year 16,The accord lasted from the year 1601 to the year 16,35
The progress lasted from the year 1494 to the year 14,The progress lasted from the year 1401 to the year 14,94
The project lasted from the year 1496 to the year 14,The project lasted from the year 1401 to the year 14,96
The contact lasted from the year 1786 to the year 17,The contact lasted from the year 1701 to the year 17,86
The fall lasted from the year 1243 to the year 12,The fall lasted from the year 1201 to the year 12,43
The effect lasted from the year 1448 to the year 14,The effect lasted from the year 1401 to the year 14,48
The accord lasted from the year 1747 to the year 17,The accord lasted from the year 1701 to the year 17,47
The effect lasted from the year 1289 to the year 12,The effect lasted from the year 1201 to the year 12,89
The order lasted from the year 1225 to the year 12,The order lasted from the year 1201 to the year 12,25
The growth lasted from the year 1475 to the year 14,The growth lasted from the year 1401 to the year 14,75
The test lasted from the year 1527 to the year 15,The test lasted from the year 1501 to the year 15,27
The work lasted from the year 1275 to the year 12,The work lasted from the year 1201 to the year 12,75
The work lasted from the year 1692 to the year 16,The work lasted from the year 1601 to the year 16,92
The attack lasted from the year 1219 to the year 12,The attack lasted from the year 1201 to the year 12,19
The contact lasted from the year 1479 to the year 14,The contact lasted from the year 1401 to the year 14,79
The practice lasted from the year 1597 to the year 15,The practice lasted from the year 1501 to the year 15,97
The development lasted from the year 1631 to the year 16,The development lasted from the year 1601 to the year 16,31
The rule lasted from the year 1298 to the year 12,The rule lasted from the year 1201 to the year 12,98
The contract lasted from the year 1483 to the year 14,The contract lasted from the year 1401 to the year 14,83
The plan lasted from the year 1567 to the year 15,The plan lasted from the year 1501 to the year 15,67
The agreement lasted from the year 1693 to the year 16,The agreement lasted from the year 1601 to the year 16,93
The quest lasted from the year 1488 to the year 14,The quest lasted from the year 1401 to the year 14,88
The testing lasted from the year 1241 to the year 12,The testing lasted from the year 1201 to the year 12,41
The case lasted from the year 1702 to the year 17,The case lasted from the year 1701 to the year 17,2
The quest lasted from the year 1709 to the year 17,The quest lasted from the year 1701 to the year 17,9
The existence lasted from the year 1665 to the year 16,The existence lasted from the year 1601 to the year 16,65
The program lasted from the year 1243 to the year 12,The program lasted from the year 1201 to the year 12,43
The existence lasted from the year 1436 to the year 14,The existence lasted from the year 1401 to the year 14,36
The relationship lasted from the year 1261 to the year 12,The relationship lasted from the year 1201 to the year 12,61
The order lasted from the year 1240 to the year 12,The order lasted from the year 1201 to the year 12,40
The trip lasted from the year 1706 to the year 17,The trip lasted from the year 1701 to the year 17,6
The development lasted from the year 1247 to the year 12,The development lasted from the year 1201 to the year 12,47
The effect lasted from the year 1582 to the year 15,The effect lasted from the year 1501 to the year 15,82
The employment lasted from the year 1350 to the year 13,The employment lasted from the year 1301 to the year 13,50
The practice lasted from the year 1768 to the year 17,The practice lasted from the year 1701 to the year 17,68
The development lasted from the year 1596 to the year 15,The development lasted from the year 1501 to the year 15,96
The development lasted from the year 1625 to the year 16,The development lasted from the year 1601 to the year 16,25
The process lasted from the year 1235 to the year 12,The process lasted from the year 1201 to the year 12,35
The order lasted from the year 1568 to the year 15,The order lasted from the year 1501 to the year 15,68
The agreement lasted from the year 1743 to the year 17,The agreement lasted from the year 1701 to the year 17,43
The employment lasted from the year 1556 to the year 15,The employment lasted from the year 1501 to the year 15,56
The growth lasted from the year 1227 to the year 12,The growth lasted from the year 1201 to the year 12,27
The agreement lasted from the year 1685 to the year 16,The agreement lasted from the year 1601 to the year 16,85
The deal lasted from the year 1429 to the year 14,The deal lasted from the year 1401 to the year 14,29
The contract lasted from the year 1702 to the year 17,The contract lasted from the year 1701 to the year 17,2
The order lasted from the year 1494 to the year 14,The order lasted from the year 1401 to the year 14,94
The growth lasted from the year 1317 to the year 13,The growth lasted from the year 1301 to the year 13,17
The relationship lasted from the year 1704 to the year 17,The relationship lasted from the year 1701 to the year 17,4
The riot lasted from the year 1292 to the year 12,The riot lasted from the year 1201 to the year 12,92
The trial lasted from the year 1244 to the year 12,The trial lasted from the year 1201 to the year 12,44
The relationship lasted from the year 1455 to the year 14,The relationship lasted from the year 1401 to the year 14,55
The existence lasted from the year 1676 to the year 16,The existence lasted from the year 1601 to the year 16,76
The rise lasted from the year 1242 to the year 12,The rise lasted from the year 1201 to the year 12,42
The construction lasted from the year 1475 to the year 14,The construction lasted from the year 1401 to the year 14,75
The employment lasted from the year 1431 to the year 14,The employment lasted from the year 1401 to the year 14,31
The tests lasted from the year 1702 to the year 17,The tests lasted from the year 1701 to the year 17,2
The impact lasted from the year 1491 to the year 14,The impact lasted from the year 1401 to the year 14,91
The tests lasted from the year 1296 to the year 12,The tests lasted from the year 1201 to the year 12,96
The impact lasted from the year 1478 to the year 14,The impact lasted from the year 1401 to the year 14,78
The development lasted from the year 1754 to the year 17,The development lasted from the year 1701 to the year 17,54
The impact lasted from the year 1332 to the year 13,The impact lasted from the year 1301 to the year 13,32
The exchange lasted from the year 1275 to the year 12,The exchange lasted from the year 1201 to the year 12,75
The fall lasted from the year 1241 to the year 12,The fall lasted from the year 1201 to the year 12,41
The process lasted from the year 1637 to the year 16,The process lasted from the year 1601 to the year 16,37
The growth lasted from the year 1652 to the year 16,The growth lasted from the year 1601 to the year 16,52
The relationship lasted from the year 1703 to the year 17,The relationship lasted from the year 1701 to the year 17,3
The case lasted from the year 1457 to the year 14,The case lasted from the year 1401 to the year 14,57
The tests lasted from the year 1221 to the year 12,The tests lasted from the year 1201 to the year 12,21
The trip lasted from the year 1436 to the year 14,The trip lasted from the year 1401 to the year 14,36
The reign lasted from the year 1226 to the year 12,The reign lasted from the year 1201 to the year 12,26
The attack lasted from the year 1794 to the year 17,The attack lasted from the year 1701 to the year 17,94
The impact lasted from the year 1789 to the year 17,The impact lasted from the year 1701 to the year 17,89
The case lasted from the year 1269 to the year 12,The case lasted from the year 1201 to the year 12,69
The effect lasted from the year 1476 to the year 14,The effect lasted from the year 1401 to the year 14,76
The operation lasted from the year 1583 to the year 15,The operation lasted from the year 1501 to the year 15,83
The tests lasted from the year 1741 to the year 17,The tests lasted from the year 1701 to the year 17,41
The effect lasted from the year 1735 to the year 17,The effect lasted from the year 1701 to the year 17,35
The contact lasted from the year 1332 to the year 13,The contact lasted from the year 1301 to the year 13,32
The fall lasted from the year 1548 to the year 15,The fall lasted from the year 1501 to the year 15,48
The effect lasted from the year 1526 to the year 15,The effect lasted from the year 1501 to the year 15,26
The coma lasted from the year 1461 to the year 14,The coma lasted from the year 1401 to the year 14,61
The practice lasted from the year 1748 to the year 17,The practice lasted from the year 1701 to the year 17,48
The challenge lasted from the year 1320 to the year 13,The challenge lasted from the year 1301 to the year 13,20
The progress lasted from the year 1468 to the year 14,The progress lasted from the year 1401 to the year 14,68
The riot lasted from the year 1782 to the year 17,The riot lasted from the year 1701 to the year 17,82
The process lasted from the year 1427 to the year 14,The process lasted from the year 1401 to the year 14,27
The test lasted from the year 1540 to the year 15,The test lasted from the year 1501 to the year 15,40
The growth lasted from the year 1275 to the year 12,The growth lasted from the year 1201 to the year 12,75
The progress lasted from the year 1448 to the year 14,The progress lasted from the year 1401 to the year 14,48
The quest lasted from the year 1784 to the year 17,The quest lasted from the year 1701 to the year 17,84
The rise lasted from the year 1563 to the year 15,The rise lasted from the year 1501 to the year 15,63
The practice lasted from the year 1702 to the year 17,The practice lasted from the year 1701 to the year 17,2
The testing lasted from the year 1350 to the year 13,The testing lasted from the year 1301 to the year 13,50
The fall lasted from the year 1703 to the year 17,The fall lasted from the year 1701 to the year 17,3
The contact lasted from the year 1684 to the year 16,The contact lasted from the year 1601 to the year 16,84
The practice lasted from the year 1489 to the year 14,The practice lasted from the year 1401 to the year 14,89
The growth lasted from the year 1290 to the year 12,The growth lasted from the year 1201 to the year 12,90
The trip lasted from the year 1220 to the year 12,The trip lasted from the year 1201 to the year 12,20
The study lasted from the year 1567 to the year 15,The study lasted from the year 1501 to the year 15,67
The case lasted from the year 1434 to the year 14,The case lasted from the year 1401 to the year 14,34
The agreement lasted from the year 1712 to the year 17,The agreement lasted from the year 1701 to the year 17,12
The rule lasted from the year 1290 to the year 12,The rule lasted from the year 1201 to the year 12,90
The practice lasted from the year 1263 to the year 12,The practice lasted from the year 1201 to the year 12,63
The order lasted from the year 1776 to the year 17,The order lasted from the year 1701 to the year 17,76
The practice lasted from the year 1261 to the year 12,The practice lasted from the year 1201 to the year 12,61
The attack lasted from the year 1423 to the year 14,The attack lasted from the year 1401 to the year 14,23
The progress lasted from the year 1639 to the year 16,The progress lasted from the year 1601 to the year 16,39
The practice lasted from the year 1441 to the year 14,The practice lasted from the year 1401 to the year 14,41
The deal lasted from the year 1708 to the year 17,The deal lasted from the year 1701 to the year 17,8
The fall lasted from the year 1780 to the year 17,The fall lasted from the year 1701 to the year 17,80
The reign lasted from the year 1650 to the year 16,The reign lasted from the year 1601 to the year 16,50
The accord lasted from the year 1629 to the year 16,The accord lasted from the year 1601 to the year 16,29
The operation lasted from the year 1708 to the year 17,The operation lasted from the year 1701 to the year 17,8
The accord lasted from the year 1561 to the year 15,The accord lasted from the year 1501 to the year 15,61
The employment lasted from the year 1654 to the year 16,The employment lasted from the year 1601 to the year 16,54
The coma lasted from the year 1482 to the year 14,The coma lasted from the year 1401 to the year 14,82
The development lasted from the year 1706 to the year 17,The development lasted from the year 1701 to the year 17,6
The operation lasted from the year 1444 to the year 14,The operation lasted from the year 1401 to the year 14,44
The study lasted from the year 1463 to the year 14,The study lasted from the year 1401 to the year 14,63
The coma lasted from the year 1450 to the year 14,The coma lasted from the year 1401 to the year 14,50
The growth lasted from the year 1520 to the year 15,The growth lasted from the year 1501 to the year 15,20
The quest lasted from the year 1758 to the year 17,The quest lasted from the year 1701 to the year 17,58
The rise lasted from the year 1793 to the year 17,The rise lasted from the year 1701 to the year 17,93
The trip lasted from the year 1707 to the year 17,The trip lasted from the year 1701 to the year 17,7
The deal lasted from the year 1286 to the year 12,The deal lasted from the year 1201 to the year 12,86
The trial lasted from the year 1708 to the year 17,The trial lasted from the year 1701 to the year 17,8
The development lasted from the year 1412 to the year 14,The development lasted from the year 1401 to the year 14,12
The existence lasted from the year 1519 to the year 15,The existence lasted from the year 1501 to the year 15,19
The shift lasted from the year 1751 to the year 17,The shift lasted from the year 1701 to the year 17,51
The process lasted from the year 1706 to the year 17,The process lasted from the year 1701 to the year 17,6
The existence lasted from the year 1747 to the year 17,The existence lasted from the year 1701 to the year 17,47
The program lasted from the year 1614 to the year 16,The program lasted from the year 1601 to the year 16,14
The impact lasted from the year 1464 to the year 14,The impact lasted from the year 1401 to the year 14,64
The impact lasted from the year 1452 to the year 14,The impact lasted from the year 1401 to the year 14,52
The work lasted from the year 1430 to the year 14,The work lasted from the year 1401 to the year 14,30
The operation lasted from the year 1521 to the year 15,The operation lasted from the year 1501 to the year 15,21
The work lasted from the year 1285 to the year 12,The work lasted from the year 1201 to the year 12,85
The reign lasted from the year 1318 to the year 13,The reign lasted from the year 1301 to the year 13,18
The contract lasted from the year 1360 to the year 13,The contract lasted from the year 1301 to the year 13,60
The trip lasted from the year 1776 to the year 17,The trip lasted from the year 1701 to the year 17,76
The campaign lasted from the year 1682 to the year 16,The campaign lasted from the year 1601 to the year 16,82
The case lasted from the year 1573 to the year 15,The case lasted from the year 1501 to the year 15,73
The project lasted from the year 1704 to the year 17,The project lasted from the year 1701 to the year 17,4
The contract lasted from the year 1110 to the year 11,The contract lasted from the year 1101 to the year 11,10
The progress lasted from the year 1310 to the year 13,The progress lasted from the year 1301 to the year 13,10
The progress lasted from the year 1496 to the year 14,The progress lasted from the year 1401 to the year 14,96
The trip lasted from the year 1703 to the year 17,The trip lasted from the year 1701 to the year 17,3
The practice lasted from the year 1703 to the year 17,The practice lasted from the year 1701 to the year 17,3
The rise lasted from the year 1231 to the year 12,The rise lasted from the year 1201 to the year 12,31
The reign lasted from the year 1711 to the year 17,The reign lasted from the year 1701 to the year 17,11
The development lasted from the year 1724 to the year 17,The development lasted from the year 1701 to the year 17,24
The deal lasted from the year 1563 to the year 15,The deal lasted from the year 1501 to the year 15,63
The trip lasted from the year 1757 to the year 17,The trip lasted from the year 1701 to the year 17,57
The process lasted from the year 1442 to the year 14,The process lasted from the year 1401 to the year 14,42
The campaign lasted from the year 1218 to the year 12,The campaign lasted from the year 1201 to the year 12,18
The campaign lasted from the year 1638 to the year 16,The campaign lasted from the year 1601 to the year 16,38
The coma lasted from the year 1479 to the year 14,The coma lasted from the year 1401 to the year 14,79
The effect lasted from the year 1269 to the year 12,The effect lasted from the year 1201 to the year 12,69
The work lasted from the year 1446 to the year 14,The work lasted from the year 1401 to the year 14,46
The process lasted from the year 1666 to the year 16,The process lasted from the year 1601 to the year 16,66
The tour lasted from the year 1268 to the year 12,The tour lasted from the year 1201 to the year 12,68
The campaign lasted from the year 1569 to the year 15,The campaign lasted from the year 1501 to the year 15,69
The case lasted from the year 1670 to the year 16,The case lasted from the year 1601 to the year 16,70
The shift lasted from the year 1410 to the year 14,The shift lasted from the year 1401 to the year 14,10
The growth lasted from the year 1559 to the year 15,The growth lasted from the year 1501 to the year 15,59
